Rent,Address
265,"Bucuresti, Sector 4, zona Tineretului
610 m (8 minute)"
279,"Bucuresti, Sector 4, zona Brancoveanu (Berceni)
710 m (9 minute)"
350,"Bucureşti, Sector 4, zona Parcul Carol"
300,"Bucureşti, Sector 4, zona Olteniţei (Berceni)"
330,"Bucureşti, Sector 4, zona Berceni"
550,"Bucureşti, Sector 4, zona Timpuri Noi (Tineretului)
90 m (1 minut)"
339,"Bucuresti, Sector 4, zona Timpuri Noi (Tineretului)
270 m (3 minute)"
245,"Bucureşti, Sector 4, zona Berceni
690 m (9 minute)"
340,"Bucureşti, Sector 4, zona Timpuri Noi (Tineretului)
450 m (6 minute)"
249,"Bucuresti, Sector 4, zona Tineretului
600 m (8 minute)"
310,"Bucureşti, Sector 4, zona Berceni
350 m (4 minute)"
239,"Bucuresti, Sector 4, zona Aparatorii Patriei (Berceni)
150 m (2 minute)"
259,"Bucureşti, Sector 4, zona Tineretului
750 m (9 minute)"
270,"Bucuresti, Sector 4, zona Tineretului
540 m (7 minute)"
280,"Bucuresti, Sector 4, zona Tineretului
230 m (3 minute)"
399,"Bucureşti, Sector 4, zona Brâncoveanu (Berceni)"
305,"Bucuresti, Sector 4, zona Tineretului
620 m (8 minute)"
260,"Bucuresti, Sector 4, zona Tineretului
720 m (9 minute)"
379,"Bucureşti, Sector 4, zona Tineretului"
450,"Bucuresti, Sector 4, zona Nerva Traian (Unirii)
140 m (2 minute)"
306,"Bucureşti, Sector 4, zona Berceni"
335,"Bucureşti, Sector 4, zona Berceni"
275,"Bucureşti, Sector 4, zona Alexandru Obregia (Berceni)
620 m (8 minute)"
420,"Bucureşti, Sector 4, zona Brâncoveanu (Berceni)
390 m (5 minute)"
204,"Bucureşti, Sector 4, zona Apărătorii Patriei (Berceni)"
375,"Bucureşti, Sector 4, zona Brâncoveanu (Berceni)
270 m (3 minute)"
240,"Bucuresti, Sector 4, zona Eroii Revolutiei (Berceni)
450 m (6 minute)"
370,"Bucuresti, Sector 4, zona Brancoveanu (Berceni)
620 m (8 minute)"
