Rent,Address
330,"Bucureşti, Sector 5, zona Parcul Carol"
300,"Bucureşti, Sector 5, zona Panduri (13 Septembrie)"
420,"Bucureşti, Sector 5, zona Parcul Carol"
250,"Bucureşti, Sector 5, zona Cotroceni"
350,"Bucuresti, Sector 5, zona Universitate (Ultracentral)
410 m (5 minute)"
270,"Bucureşti, Sector 5, zona Panduri (13 Septembrie)"
204,"Bucureşti, Sector 5, zona Prelungirea Ferentari (Rahova)"
469,"Bucureşti, Sector 5, zona Lujerului (Militari)
270 m (3 minute)"
260,"Bucuresti, Sector 5, zona Sebastian (13 Septembrie)"
459,"Bucureşti, Sector 5, zona 13 Septembrie"
349,"Bucureşti, Sector 5, zona P-ţa Victoriei (Ultracentral)"
340,"Bucureşti, Sector 5, zona 13 Septembrie"
280,"Bucureşti, Sector 5, zona Rahova"
