Rent,Address
250,"Bucureşti, Sector 2, zona Pantelimon"
300,"Bucureşti, Sector 2, zona Fundeni (Colentina)"
520,"Bucuresti, Sector 2, zona Calea Calarasilor
750 m (9 minute)"
285,"Bucuresti, Sector 2, zona Eminescu (Dacia)"
270,"Bucureşti, Sector 2, zona Pantelimon"
330,"Bucureşti, Sector 2, zona Iancului
400 m (5 minute)"
299,"Bucuresti, Sector 2, zona Lacul Tei (Tei)"
280,"Bucuresti, Sector 2, zona Mosilor
260 m (3 minute)"
450,"Bucureşti, Sector 2, zona Timpuri Noi (Tineretului)
180 m (2 minute)"
260,"Bucureşti, Sector 2, zona Colentina
270 m (3 minute)"
390,"Bucureşti, Sector 2, zona Iancului"
576,"Bucureşti, Sector 2, zona P-ţa Romană (Ultracentral)
80 m (1 minut)"
400,"Bucureşti, Sector 2, zona Dacia
590 m (7 minute)"
499,"Bucureşti, Sector 2, zona Tineretului
240 m (3 minute)"
269,"Bucuresti, Sector 2, zona Pantelimon"
340,"Bucureşti, Sector 2, zona Tineretului
600 m (8 minute)"
410,"Bucureşti, Sector 2, zona Eminescu (Dacia)"
349,"Bucureşti, Sector 2, zona Lacul Tei (Tei)"
379,"Bucureşti, Sector 2, zona Calea Călăraşilor (Calea Calarasilor)"
290,"Bucureşti, Sector 2, zona Iancului
460 m (6 minute)"
399,"Bucuresti, Sector 2, zona Calea Calarasilor"
460,"Bucureşti, Sector 2, zona Aviaţiei (Aviatiei)
220 m (3 minute)"
279,"Bucureşti, Sector 2, zona Pantelimon"
350,"Bucureşti, Sector 2, zona Calea Călăraşilor (Calea Calarasilor)"
310,"Bucureşti, Sector 2, zona Obor (Colentina)
660 m (8 minute)"
360,"Bucuresti, Sector 2, zona Iancului"
199,"Bucuresti, Sector 2, zona Chisinau (Pantelimon)"
367,"Bucureşti, Sector 2, zona Fundeni (Colentina)"
