Rent,Address
499,"Bucuresti, Sector 1, zona Domenii (1 Mai)"
375,"Bucuresti, Sector 1, zona Stirbei Voda (Ultracentral)
540 m (7 minute)"
450,"Bucuresti, Sector 1, zona Pipera
690 m (9 minute)"
340,"Bucureşti, Sector 1, zona Pipera"
349,"Bucuresti, Sector 1, zona P-ta Victoriei (Ultracentral)
310 m (4 minute)"
360,"Bucuresti, Sector 1, zona Universitate (Ultracentral)
710 m (9 minute)"
390,"Bucureşti, Sector 1, zona Romană (Ultracentral)
530 m (7 minute)"
339,"Bucureşti, Sector 1, zona P-ţa Victoriei (Ultracentral)
490 m (6 minute)"
600,"Bucuresti, Sector 1, zona Primaverii (Dorobanti)
300 m (4 minute)"
223,"Bucureşti, Sector 1, zona Aviaţiei (Aviatiei)"
400,"Bucureşti, Sector 1, zona Iancu Nicolae (Pipera)"
350,"Bucureşti, Sector 1, zona P-ţa Victoriei (Ultracentral)"
320,"Bucureşti, Sector 1, zona Dorobanţi (Dorobanti)"
440,"Bucuresti, Sector 1, zona 1 Mai"
380,"Bucureşti, Sector 1, zona Titulescu (1 Mai)
330 m (4 minute)"
500,"Bucureşti, Sector 1, zona Calea Victoriei (Ultracentral)
650 m (8 minute)"
280,"Bucureşti, Sector 1, zona 1 Mai"
530,"Bucureşti, Sector 1, zona Băneasa (Baneasa)"
370,"Bucureşti, Sector 1, zona Victoriei (Ultracentral)"
420,"Bucureşti, Sector 1, zona Domenii (1 Mai)"
325,"Bucureşti, Sector 1, zona Romană (Ultracentral)
260 m (3 minute)"
550,"Bucuresti, Sector 1, zona Aviatiei"
250,"Bucureşti, Sector 1, zona Cişmigiu (Ultracentral)
550 m (7 minute)"
700,"Bucureşti, Sector 1, zona Herăstrău (Herastrau)"
460,"Bucureşti, Sector 1, zona Victoriei (Ultracentral)"
365,"Bucureşti, Sector 1, zona Politehnica (Militari)
520 m (7 minute)"
230,"Bucureşti, Sector 1, zona Gara de Nord
40 m (1 minut)"
750,"Bucureşti, Sector 1, zona Băneasa (Baneasa)"
630,"Bucureşti, Sector 1, zona Băneasa (Baneasa)"
265,"Bucureşti, Sector 1, zona Floreasca
680 m (9 minute)"
330,"Bucuresti, Sector 1, zona Victoriei (Ultracentral)
430 m (5 minute)"
395,"Bucuresti, Sector 1, zona Dorobanti"
299,"Bucureşti, Sector 1, zona Titulescu (1 Mai)
430 m (5 minute)"
480,"Bucureşti, Sector 1, zona P-ţa Romană (Ultracentral)
240 m (3 minute)"
185,"Bucuresti, Sector 1, zona Antiaeriana (Rahova)"
200,"Bucuresti, Sector 1, zona P-ta Universitatii (Ultracentral)
110 m (1 minut)"
290,"Bucuresti, Sector 1, zona Floreasca"
