Rent,Address
460,"Bucureşti, Sector 6, zona Politehnica (Militari)
460 m (6 minute)"
255,"Bucureşti, Sector 6, zona Militari"
400,"Bucureşti, Sector 6, zona Militari"
450,"Bucureşti, Sector 6, zona Lujerului (Militari)"
370,"Bucureşti, Sector 6, zona Drumul Taberei"
390,"Bucuresti, Sector 6, zona Grozavesti (Militari)
560 m (7 minute)"
449,"Bucureşti, Sector 6, zona Politehnica (Militari)"
299,"Bucureşti, Sector 6, zona Gorjului (Militari)
450 m (6 minute)"
379,"Bucuresti, Sector 6, zona Drumul Taberei"
399,"Bucuresti, Sector 6, zona Grozavesti (Militari)
540 m (7 minute)"
306,"Bucuresti, Sector 6, zona Militari"
270,"Bucureşti, Sector 6, zona Gorjului (Militari)
250 m (3 minute)"
389,"Bucuresti, Sector 6, zona Drumul Taberei"
380,"Bucuresti, Sector 6, zona Lujerului (Militari)
510 m (6 minute)"
285,"Bucuresti, Sector 6, zona Lujerului (Militari)
380 m (5 minute)"
200,"Bucureşti, Sector 6, zona Militari"
260,"Bucureşti, Sector 6, zona Drumul Taberei"
350,"Bucuresti, Sector 6, zona Lujerului (Militari)"
210,"Bucureşti, Sector 6, zona Militari"
265,"Bucuresti, Sector 6, zona Militari"
410,"Bucureşti, Sector 6, zona Politehnica (Militari)
590 m (7 minute)"
429,"Bucureşti, Sector 6, zona Grozăveşti (Militari)"
275,"Bucureşti, Sector 6, zona Militari"
430,"Bucuresti, Sector 6, zona Grozavesti (Militari)
490 m (6 minute)"
286,"Bucuresti, Sector 6, zona Pacii (Militari)"
304,"Bucureşti, Sector 6, zona Militari"
290,"Bucuresti, Sector 6, zona Lujerului (Militari)"
204,"Bucuresti, Sector 6, zona Militari"
300,"Bucuresti, Sector 6, zona Lujerului (Militari)
270 m (3 minute)"
265,"Bucureşti, Sector 6, zona Militari"
365,"Bucureşti, Sector 6, zona Politehnica (Militari)
520 m (7 minute)"
250,"Bucuresti, Sector 6, zona Drumul Taberei"
479,"Bucureşti, Sector 6, zona Drumul Taberei"
440,"Bucuresti, Sector 6, zona Lujerului (Militari)
730 m (9 minute)"
395,"Bucureşti, Sector 6, zona Politehnica (Militari)
650 m (8 minute)"
385,"Bucuresti, Sector 6, zona Lujerului (Militari)
500 m (6 minute)"
367,"Bucureşti, Sector 6, zona Păcii (Militari)
340 m (4 minute)"
388,"Bucuresti, Sector 6, zona Lujerului (Militari)"
419,"Bucureşti, Sector 6, zona Drumul Taberei"
375,"Bucureşti, Sector 6, zona Lujerului (Militari)
510 m (6 minute)"
155,"Bucureşti, Sector 6, zona Drumul Taberei"
500,"Bucureşti, Sector 6, zona Drumul Taberei"
330,"Bucuresti, Sector 6, zona Drumul Taberei"
360,"Bucuresti, Sector 6, zona Grozavesti (Militari)
210 m (3 minute)"
